period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w
2024-11-14,0.01581971,-0.00142746,-0.05696135,1,4.32596313,1.00000000,20,7,1.00000000
2024-11-18,0.00545699,0.00037082,-0.05553178,1,4.50747442,1.00000000,20,8,1.00000000
2024-11-20,-0.00106931,-0.00029494,-0.06276508,1,4.53941255,1.00000000,20,9,1.00000000
2024-11-22,0.01535022,0.00089557,-0.04514278,1,4.58085231,1.00000000,20,8,1.00000000
2024-11-26,-0.00172911,0.00025056,-0.06477558,1,4.54534633,1.00000000,20,9,1.00000000
2024-11-29,0.01231893,0.00234050,-0.05271669,1,4.55013832,1.00000000,20,10,1.00000000
2024-12-03,0.01723734,-0.00135203,-0.04509371,1,4.45811285,1.00000000,20,8,1.00000000
2024-12-05,0.00382283,-0.00008020,-0.05210904,1,4.32044041,1.00000000,20,8,1.00000000
2024-12-09,-0.00237461,-0.00159301,-0.05653571,1,4.15937406,1.00000000,20,7,1.00000000
2024-12-11,0.00093022,0.00012101,-0.05910214,1,4.19413510,1.00000000,20,6,1.00000000
2024-12-13,0.10910731,-0.00815476,-0.01933714,1,4.22276678,1.00000000,20,7,1.00000000
2024-12-17,0.03031498,-0.00173796,-0.05442797,1,4.43862535,1.00000000,20,7,1.00000000
2024-12-19,0.00627037,0.00047811,-0.04573574,1,4.22695504,1.00000000,20,8,1.00000000
2024-12-23,-0.00301179,-0.00048024,-0.05584930,1,4.32308771,1.00000000,20,6,1.00000000
2024-12-26,-0.00869241,0.00045543,-0.05667502,1,4.27797557,1.00000000,20,7,1.00000000
2024-12-30,0.01606918,0.00097072,-0.03756289,1,4.49104292,1.00000000,20,6,1.00000000
2025-01-02,0.00154775,0.00028929,-0.04767988,1,4.23407026,1.00000000,20,7,1.00000000
2025-01-06,-0.01447395,0.00000571,-0.06123415,1,4.05035735,1.00000000,20,7,1.00000000
2025-01-08,0.03874748,0.00274013,-0.02255341,1,4.27414244,1.00000000,20,6,1.00000000
2025-01-13,0.02372525,0.00248043,-0.03518755,1,4.40733543,1.00000000,20,9,1.00000000
2025-01-15,0.05329996,0.01301547,-0.02844698,1,4.46045183,1.00000000,20,7,1.00000000
2025-01-17,0.01379998,0.00165196,-0.03701946,1,4.36346560,1.00000000,20,9,1.00000000
2025-01-22,0.00826181,-0.00065540,-0.04435120,1,4.27385156,1.00000000,20,9,1.00000000
2025-01-24,-0.00069858,0.00013824,-0.05564588,1,4.24629570,1.00000000,20,6,1.00000000
2025-01-28,0.04064851,0.00652334,-0.05202723,1,4.24462404,1.00000000,20,9,1.00000000
2025-01-30,0.01410239,0.00120568,-0.04068646,1,4.39011002,1.00000000,20,7,1.00000000
2025-02-03,0.02569254,0.00241169,-0.02615436,1,4.11287484,1.00000000,20,8,1.00000000
2025-02-05,0.00539970,0.00317159,-0.04517509,1,4.24234230,1.00000000,20,10,1.00000000
2025-02-07,0.02284356,-0.00254392,-0.03654565,1,4.26715461,1.00000000,20,6,1.00000000
2025-02-11,0.00917356,-0.00049366,-0.04259867,1,4.07016059,1.00000000,20,8,1.00000000
2025-02-13,0.04845907,0.00830065,-0.02287350,1,4.06736259,1.00000000,20,9,1.00000000
2025-02-18,0.02064239,-0.00253089,-0.03483499,1,4.09237342,1.00000000,20,8,1.00000000
2025-02-20,0.00576780,-0.00101009,-0.04241671,1,4.34874685,1.00000000,20,7,1.00000000
2025-02-24,0.00406486,0.00156054,-0.04238621,1,4.32583532,1.00000000,20,8,1.00000000
2025-02-26,0.02445287,0.00109227,-0.03264472,1,4.36057319,1.00000000,20,9,1.00000000
2025-02-28,0.13893200,0.01623358,0.01082409,1,4.13754412,1.00000000,20,4,1.00000000
2025-03-04,-0.00476883,-0.00300421,-0.05393293,1,4.57387740,1.00000000,20,10,1.00000000
2025-03-06,0.03239962,-0.00224963,-0.02547854,1,4.56830055,1.00000000,20,10,1.00000000
2025-03-10,0.00977794,0.00062738,-0.03942912,1,4.26236701,1.00000000,20,6,1.00000000
2025-03-12,0.38224904,0.01057042,0.08232626,1,4.08716991,1.00000000,20,4,1.00000000
2025-03-14,-0.00839951,0.00094959,-0.05522127,1,4.48387048,1.00000000,20,9,1.00000000
2025-03-18,0.01272983,-0.00036378,-0.03165999,1,4.02540677,1.00000000,20,6,1.00000000
2025-03-20,0.01291956,-0.00037520,-0.03592061,1,4.04342257,1.00000000,20,7,1.00000000
2025-03-24,0.02973785,0.00094441,-0.01682105,1,4.16784623,1.00000000,20,7,1.00000000
2025-03-26,0.00850688,-0.00172954,-0.03497052,1,4.16880822,1.00000000,20,8,1.00000000
2025-03-28,0.02903634,-0.00287231,-0.02753303,1,4.22111507,1.00000000,20,6,1.00000000
